名字,价格,每平米价格,间数,面积,层号,年份,经纪人,地址
富乐优选  怡水园通透三居  有证可贷款  户型采光无可挑剔,140万,10606元/m²,3室2厅,132m²,中层(共14层),2012年建造,王芳,怡水园                 桃城-桃城-和平路
福家优选博学仕府 3室2厅 交房带装修 可贷31.5万,74万,6546元/m²,3室2厅,113m²,低层(共24层),2018年建造,赵聪,胜景茂园                 桃城-桃城-和平东路1049号
衡中附近  牧马庄园  送车位  精装   可贷款  全明户,74.8万,8800元/m²,2室1厅,85m²,高层(共19层),2014年建造,孙剑,牧马庄园                 桃城-桃城-京广线
绿叶  北斗星城御府2室2厅1卫挥泪甩卖74万急急急急、、、,74万,9736元/m²,2室2厅,76m²,高层(共18层),2014年建造,王海博,北斗星城                 桃城-桃城-前进北大街
万和峰景，老证，89平米，精装，可贷款。,85.6万,9617元/m²,2室1厅,89m²,高层(共22层),2013年建造,赵文荣,万和峰景                 桃城-桃城-站前西路889号
5108怡水园二期复式 豪华装修 带30平小院 南北通透,265万,12045元/m²,5室3厅,220m²,低层(共11层),2014年建造,杨瑞,怡水园                 桃城-桃城-和平路
新天地现房，简装修，87.66平带34平车库8楼3室2厅1卫,43万,4905元/m²,3室2厅,87m²,中层(共17层),2015年建造,张玉涛,新天地                 枣强-枣强-中华东街
香榭丽都两室两厅包改名带小房15平简装纯阳面可贷款,73万,8111元/m²,2室2厅,90m²,高层(共18层),2014年建造,郭天宇,香榭丽都                 桃城-桃城-大庆西路
太1阳城 2期 南北大2居  首付12万起 可以贷款 有小房,65万,7738元/m²,2室2厅,84m²,高层(共6层),2012年建造,代乐,东方太阳城                 桃城-桃城-翠微街299号
绿叶 恒丰理想城126平首付33万，包更名，价格可商议！急售,110万,8730元/m²,3室2厅,126m²,中层(共27层),2017年建造,修丽佳,恒丰理想城                 桃城-桃城-大庆西路
T429泰华丽景御园119平3室22楼豪装带小房140万有证,140万,11764元/m²,3室2厅,119m²,高层(共23层),2015年建造,薛凤霞,丽景御园                 桃城-桃城-胜利路
旭日优选达观天下小高层精致户型温馨三居赠车库有证可贷款,112.8万,10254元/m²,3室2厅,110m²,高层(共11层),2014年建造,魏文轩,达观天下                 桃城-桃城-永兴西路
985东方大阳城2期3室2厅老证带小房家电齐全,85万,8333元/m²,3室2厅,102m²,高层(共6层),2010年建造,张新,东方太阳城                 桃城-桃城-翠微街299号
绿叶达观天下 81平68万 两室两厅  精装 首付15万,68万,8395元/m²,2室2厅,81m²,高层(共18层),2015年建造,孙灵海,达观天下                 桃城-桃城-永兴西路
zx3458广厦上城2室95平98万，29层共30层，豪装,98万,10000元/m²,2室2厅,98m²,高层(共30层),2014年建造,薛凤霞,广厦上城                 桃城-桃城-育才街
房东急售1344繁华地段好楼层3室2厅赠储间老证低税费,65万,7647元/m²,3室2厅,85m²,中层(共6层),2004年建造,魏文轩,清平胡同童车厂生活区                 桃城-桃城-和平西路
五院附近卫生局4楼120平3阳面卧室带小房独门独户82.6万,82.6万,6883元/m²,3室2厅,120m²,中层(共6层),2004年建造,董文新,"市卫生局住宅楼                 桃城-桃城-康泰街,近永兴西路"
1021紫金花园3室2厅精装有证带小房,148.5万,11000元/m²,3室2厅,135m²,低层(共27层),2014年建造,张新,紫金花园                 桃城-桃城-自强街
恒丰理想城123平3室2厅中层南北通透包改名能贷款,100万,8130元/m²,3室2厅,123m²,中层(共33层),2017年建造,杨兰琴,恒丰理想城                 桃城-桃城-大庆西路
前进街五洲国际复式4室2厅2卫有车位小房可贷款好楼层,135万,7941元/m²,4室2厅,170m²,高层(共16层),2011年建造,魏世超,五洲国际官邸                 桃城-桃城-胜利西路
旭日优选1299天鸿尚都温馨两居时尚精装低税费,99.8万,10288元/m²,2室2厅,97m²,中层(共13层),2013年建造,魏文轩,天鸿尚都                 桃城-桃城-利民路
广厦上城95平 20楼精装两居,95万,9895元/m²,2室2厅,96m²,高层(共27层),2012年建造,张丽娟,广厦上城                 桃城-桃城-育才街
120和平家园牛佐小学附近 1/6+1 130平 带车库小房,139万,10692元/m²,3室2厅,130m²,低层(共6层),2012年建造,李春光,和平嘉园                 桃城-桃城-问津街
旭日优推学 区房牧马庄园  2室2厅  4/11楼  84平,66.8万,7952元/m²,2室2厅,84m²,中层(共11层),2013年建造,李春光,牧马庄园                 桃城-桃城-京广线
万和靓景4楼南北通透105平带小房户型方正3室2,89.8万,8552元/m²,3室2厅,105m²,低层(共12层),2013年建造,张丽娟,万和靓景                 桃城-桃城-裕华东路358号
吉售汇龙学校附近万象新城两室两厅一卫毛坯随意装修包改名,65万,7117元/m²,2室2厅,91m²,中层(共18层),2015年建造,董海燕,隆兴宜居                 桃城-桃城-隆兴路
绿叶优选 颐和家园100.9平/97万 精装修 需全款,97万,9613元/m²,3室1厅,100m²,低层(共24层),2010年建造,张铭宇,颐和家园                 桃城-桃城-大庆西路
富乐优选 爱特西家属楼南北通透好楼层实用面积大送小房可贷款,73.8万,8716元/m²,3室1厅,84m²,中层(共6层),2007年建造,王芳,交通局生活区                 桃城-桃城-中华南大街
康复街小学对面一建家属院，7楼，96.1平，2居室，101万,101万,10509元/m²,2室2厅,96m²,中层(共17层),2012年建造,李岭岭,衡水市一建住宅楼                 桃城-桃城-康宁街
绿叶优选恒大城138.4平3室2厅2卫精装有证151.8万,151.8万,10968元/m²,3室2厅,138m²,低层(共33层),2015年建造,张晓青,恒大城                 开发区-开发区-顺兴街
绿叶优选 达观天下 16层好楼层 首付15万 带小房 ！！！,68万,8395元/m²,2室2厅,81m²,高层(共18层),2014年建造,李东辉,达观天下                 桃城-桃城-永兴西路
前进大街万德福东临丽景名都  两室两厅 毛坯 带小房 有证,115万,10648元/m²,2室2厅,108m²,低层(共23层),2009年建造,王月玲,丽景名都                 开发区-开发区-胜利西路1188号
绿叶优选丽景名都 豪装大三居  格局超棒  采光好  位置好,173万,12097元/m²,3室2厅,143m²,高层(共17层),2007年建造,李志刚,丽景名都                 开发区-开发区-胜利西路1188号
